config,runs,best,mean,std,mean_time_s,mean_veh,mean_dist_km
P40_pc0.85_pmI0.2_pmE0.2_LS1,2,476445.18439953926,476445.18439953926,5.820766091346741e-11,13.080356478691101,8.0,233.17056332767015
P40_pc0.9_pmI0.2_pmE0.2_LS1,2,476445.18439953926,476445.18439953926,0.0,12.895426630973816,8.0,233.17056332767012
P60_pc0.9_pmI0.2_pmE0.2_LS1,2,476445.18439953926,476445.18439953926,0.0,13.232461214065552,8.0,233.17056332767015
P60_pc0.9_pmI0.2_pmE0.2_LS0,6,476445.18439953926,476445.1843995393,0.0,12.018171906471252,8.0,233.17056332767015
P60_pc0.85_pmI0.2_pmE0.2_LS1,2,476445.1843995393,476445.1843995393,0.0,12.950995445251465,8.0,233.17056332767015
P40_pc0.85_pmI0.2_pmE0.2_LS0,6,476445.18439953926,482222.5042716209,6328.736831723914,12.026769797007242,8.0,235.997962938803
P40_pc0.9_pmI0.2_pmE0.2_LS0,6,476445.18439953926,482807.66958458774,6969.753315286972,12.029940327008566,8.0,236.2843407428651
P60_pc0.85_pmI0.2_pmE0.2_LS0,6,476445.18439953926,484843.97157162003,9200.410379667326,12.049307425816854,8.0,237.28089962722026
