seed,best_cost,vehicles,dist_km,time_h,iters,time_sec,config
123,487999.82414370246,8,238.82536254993593,9.553014501997437,223,12.005659103393555,P40_pc0.85_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767012,9.326822533106805,233,12.034786939620972,P40_pc0.85_pmI0.2_pmE0.2_LS0
123,487999.82414370246,8,238.82536254993593,9.553014501997437,234,12.03727388381958,P40_pc0.85_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767012,9.326822533106805,244,12.000683069229126,P40_pc0.85_pmI0.2_pmE0.2_LS0
123,487999.82414370246,8,238.82536254993593,9.553014501997437,232,12.000595808029175,P40_pc0.85_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767012,9.326822533106805,241,12.08161997795105,P40_pc0.85_pmI0.2_pmE0.2_LS0
123,476445.18439953926,8,233.17056332767015,9.326822533106807,5,13.685180902481079,P40_pc0.85_pmI0.2_pmE0.2_LS1
456,476445.1843995393,8,233.17056332767015,9.326822533106807,4,12.475532054901123,P40_pc0.85_pmI0.2_pmE0.2_LS1
123,489170.1547696362,8,239.39811815806016,9.575924726322405,207,12.012524127960205,P40_pc0.9_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767012,9.326822533106805,236,12.001356840133667,P40_pc0.9_pmI0.2_pmE0.2_LS0
123,489170.1547696362,8,239.39811815806016,9.575924726322405,213,12.014233112335205,P40_pc0.9_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767012,9.326822533106805,244,12.032218933105469,P40_pc0.9_pmI0.2_pmE0.2_LS0
123,489170.1547696362,8,239.39811815806016,9.575924726322405,212,12.083703994750977,P40_pc0.9_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767012,9.326822533106805,245,12.03560495376587,P40_pc0.9_pmI0.2_pmE0.2_LS0
123,476445.18439953926,8,233.1705633276701,9.326822533106803,5,12.515367031097412,P40_pc0.9_pmI0.2_pmE0.2_LS1
456,476445.18439953926,8,233.17056332767015,9.326822533106807,5,13.27548623085022,P40_pc0.9_pmI0.2_pmE0.2_LS1
123,493242.7587437008,8,241.3912359267704,9.655649437070815,138,12.059635877609253,P60_pc0.85_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767012,9.326822533106805,148,12.0797119140625,P60_pc0.85_pmI0.2_pmE0.2_LS0
123,493242.7587437008,8,241.3912359267704,9.655649437070815,138,12.056714057922363,P60_pc0.85_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767012,9.326822533106805,147,12.030353784561157,P60_pc0.85_pmI0.2_pmE0.2_LS0
123,493242.7587437008,8,241.3912359267704,9.655649437070815,137,12.011858940124512,P60_pc0.85_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767012,9.326822533106805,148,12.057569980621338,P60_pc0.85_pmI0.2_pmE0.2_LS0
123,476445.1843995393,8,233.17056332767015,9.326822533106807,3,12.422420024871826,P60_pc0.85_pmI0.2_pmE0.2_LS1
456,476445.1843995393,8,233.17056332767015,9.326822533106807,3,13.479570865631104,P60_pc0.85_pmI0.2_pmE0.2_LS1
123,476445.18439953926,8,233.17056332767015,9.326822533106807,154,12.027295112609863,P60_pc0.9_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767015,9.326822533106807,156,12.045811891555786,P60_pc0.9_pmI0.2_pmE0.2_LS0
123,476445.18439953926,8,233.17056332767015,9.326822533106807,154,12.00525426864624,P60_pc0.9_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767015,9.326822533106807,156,12.017164945602417,P60_pc0.9_pmI0.2_pmE0.2_LS0
123,476445.18439953926,8,233.17056332767015,9.326822533106807,154,12.013229131698608,P60_pc0.9_pmI0.2_pmE0.2_LS0
456,476445.18439953926,8,233.17056332767015,9.326822533106807,155,12.0002760887146,P60_pc0.9_pmI0.2_pmE0.2_LS0
123,476445.18439953926,8,233.17056332767012,9.326822533106805,3,13.139493227005005,P60_pc0.9_pmI0.2_pmE0.2_LS1
456,476445.18439953926,8,233.17056332767015,9.326822533106807,3,13.325429201126099,P60_pc0.9_pmI0.2_pmE0.2_LS1
