config,runs,best,mean,std,mean_time_s,mean_veh,mean_dist_km
P40_pc0.85_pmI0.2_pmE0.2_LS1,3,476445.18439953926,476445.1843995393,0.0,45.507686694463096,8.0,233.17056332767015
P40_pc0.9_pmI0.2_pmE0.2_LS1,3,476445.18439953926,476445.1843995393,0.0,45.2546603679657,8.0,233.17056332767012
P60_pc0.9_pmI0.2_pmE0.2_LS1,3,476445.18439953926,476445.1843995393,0.0,46.25250848134359,8.0,233.17056332767012
